Encounter_number,Range_ft,Camera_number,Camera_Confidence_level,Preprocess_time_ms,Inference_time_ms,Postprocess_time_ms
encounter_20,1466.0559516198916,2,0,0,0,0
encounter_35,522.8311650843206,4,0.7594334483146667,2.2231340408325195,15.119194984436035,0.9444952011108398
encounter_40,809.3912499322355,5,0,0,0,0
encounter_42,521.8746669452514,3,0.8767551183700562,2.396106719970703,15.048027038574219,1.0704994201660156
encounter_52,465.89593221009636,2,0.8749504089355469,2.1495819091796875,14.173269271850586,0.9511709213256836
encounter_82,257.6948228537917,5,0,0,0,0
encounter_84,1070.7880829871344,5,0.7442989349365234,2.1224021911621094,10.655403137207031,0.7284879684448242
encounter_122,911.8749794349893,2,0.810439944267273,2.201080322265625,14.044761657714844,0.9632110595703125
encounter_125,235.85234267379133,3,0.9735389947891235,2.1576881408691406,10.205268859863281,0.628352165222168
encounter_128,641.3340285002622,4,0.690433144569397,2.2110939025878906,14.285564422607422,0.7965564727783203
encounter_131,1309.0221278548522,5,0.45102351903915405,2.430438995361328,12.303352355957031,3.4961700439453125
encounter_133,830.0972446361789,1,0.6549225449562073,2.1620988845825195,10.373830795288086,0.7282495498657227
encounter_143,1230.1570872684483,4,0,0,0,0
encounter_147,791.6029286960667,3,0.7589455246925354,2.148270606994629,11.013269424438477,0.7442235946655273
encounter_151,649.563145331522,5,0,0,0,0
encounter_156,816.6083200981352,5,0.6839755177497864,2.216815948486328,10.245442390441895,0.9905099868774414
encounter_161,462.8852001764114,2,0,0,0,0
encounter_165,1512.4724281421752,4,0,0,0,0
encounter_188,666.0819207494828,3,0.818606436252594,2.129673957824707,10.527849197387695,0.7245540618896484
encounter_191,1052.720994622069,2,0.8017177581787109,2.269864082336426,10.286450386047363,0.6272792816162109
encounter_248,912.9011183603382,5,0,0,0,0
encounter_280,1573.4802189160052,3,0,0,0,0
encounter_292,342.8552377372657,1,0,0,0,0
encounter_305,427.97825563024,1,0,0,0,0
encounter_326,1249.7141498395006,2,0.6492372751235962,2.1364688873291016,13.729095458984375,0.6748437881469727
encounter_327,793.7285202437112,5,0.7262020707130432,2.2586584091186523,14.334917068481445,1.1063814163208008
encounter_339,558.1982698468463,5,0.8479000926017761,2.165675163269043,14.505982398986816,0.8969306945800781
encounter_357,951.0496231411224,4,0,0,0,0
encounter_393,1298.9363605903036,4,0.478238046169281,2.1077394485473633,11.09766960144043,0.6301403045654297
encounter_427,1071.322709253435,3,0.7869873642921448,2.2400617599487305,10.849356651306152,0.6299018859863281
encounter_445,976.1278847507544,1,0.7923211455345154,2.2264719009399414,14.3967866897583,1.2058019638061523
encounter_449,351.3001376902487,2,0,0,0,0
encounter_490,910.6789799248147,2,0,0,0,0
encounter_496,803.4915685545212,3,0.7714917063713074,2.1272897720336914,10.577082633972168,0.638127326965332
encounter_540,812.4206897491325,3,0.6021536588668823,2.1593570709228516,15.148162841796875,1.5859603881835938
encounter_542,373.77241108626237,2,0.8818503618240356,2.290487289428711,12.010931968688965,0.7189512252807617
encounter_544,987.8273917034503,2,0.6077386736869812,2.1140575408935547,10.801911354064941,0.7838010787963867
encounter_564,198.40049946041503,1,0.874657928943634,2.4074316024780273,10.755181312561035,0.9268522262573242
encounter_580,437.40782810734925,3,0.5585541725158691,2.161383628845215,11.919498443603516,0.6730556488037109
encounter_600,1406.441222753347,5,0.59176105260849,2.177596092224121,15.411019325256348,0.93841552734375
encounter_605,484.4582313351616,3,0.8545283079147339,2.1048784255981445,10.520339012145996,0.7015466690063477
encounter_607,679.9589600533351,2,0,0,0,0
encounter_610,307.6089998343181,3,0.902161717414856,2.313852310180664,14.143705368041992,1.1855363845825195
encounter_626,801.6678204090915,2,0.47870877385139465,2.259373664855957,14.644026756286621,1.1153221130371094
encounter_629,944.542488456976,1,0.6865531206130981,2.2430419921875,12.694120407104492,1.9261837005615234
encounter_644,860.0475155178397,5,0,0,0,0
encounter_673,632.9960940547757,3,0.8601434230804443,2.156496047973633,10.574817657470703,0.6473064422607422
encounter_676,1497.5991281301253,4,0,0,0,0
encounter_711,1669.5888550053282,4,0,0,0,0
encounter_715,534.9090337573563,4,0,0,0,0
encounter_720,1264.5508264844761,2,0,0,0,0
encounter_733,387.95967756578403,4,0,0,0,0
encounter_742,1483.4897760365216,1,0.7697024345397949,2.2487640380859375,10.80024242401123,0.6690025329589844
encounter_746,1311.3672106044173,2,0.504271388053894,2.0990371704101562,11.711955070495605,0.7804632186889648
encounter_752,374.4347460261337,1,0.9166697263717651,2.3314952850341797,15.953540802001953,0.9531974792480469
encounter_756,505.14551835580005,4,0.8352937698364258,2.3800134658813477,15.747308731079102,1.093149185180664
encounter_758,1268.374168982551,5,0,0,0,0
encounter_775,597.084344085639,5,0.8082524538040161,2.580404281616211,11.126279830932617,1.161336898803711
encounter_779,108.37456968105892,2,0.9694887399673462,2.3622512817382812,10.746121406555176,0.6452798843383789
encounter_780,2197.1521222202778,4,0,0,0,0
encounter_816,1339.0633486264355,2,0.27269434928894043,2.390265464782715,10.389447212219238,0.6746053695678711
encounter_818,873.4712715704646,2,0.7219123244285583,2.1386146545410156,10.573506355285645,0.7318258285522461
encounter_827,1048.8882337751381,4,0,0,0,0
encounter_840,515.6616444297532,2,0,0,0,0
encounter_878,854.1963391969138,3,0.48332878947257996,2.2962093353271484,10.739326477050781,0.9659528732299805
encounter_900,936.5250805454424,2,0,0,0,0
encounter_907,1378.4450633898243,2,0.399821937084198,2.350449562072754,14.10830020904541,1.179814338684082
encounter_935,640.3393830809658,4,0,0,0,0
encounter_936,927.2045205794816,2,0.8452973961830139,2.4290084838867188,10.783791542053223,0.6959438323974609
encounter_937,1489.4174053721713,4,0.7078204154968262,2.4039745330810547,15.226602554321289,1.1677742004394531
encounter_942,1332.874110313119,2,0.44259604811668396,2.2488832473754883,12.321233749389648,0.7174015045166016
encounter_943,268.05110166132766,5,0,0,0,0
encounter_981,370.4799855551812,4,0.90435391664505,2.361416816711426,12.596487998962402,0.830531120300293
encounter_999,600.989764270224,2,0.779541015625,2.400517463684082,10.474324226379395,0.7023811340332031
encounter_1013,226.9847813856059,5,0.9192023277282715,2.1784305572509766,10.736703872680664,0.7011890411376953
encounter_1016,927.155896541302,3,0.5252841114997864,2.1418333053588867,10.47813892364502,0.6229877471923828
encounter_1057,1475.6207273833281,5,0.4938831925392151,2.1806955337524414,10.97714900970459,0.9249448776245117
encounter_1065,1364.8087360637612,4,0.4257502257823944,2.1626949310302734,14.963507652282715,0.8769035339355469
